,Model,Hafiza,Ekran_Boyutu,Garanti,Kamera_Cozunurluk,Baglanti_Hizi,Pil_Gucu,RAM,Fiyat
141,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
142,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
143,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
144,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
145,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
146,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
147,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
148,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
149,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
150,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
151,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
152,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
153,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
154,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
155,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
156,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
157,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
158,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
159,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
160,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
161,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
162,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
163,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
164,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
165,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
166,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
167,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
168,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
169,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
170,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
171,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
172,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
173,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
174,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
175,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
176,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
177,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
178,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
179,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
180,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
181,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
182,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
183,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
184,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
185,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
186,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
187,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
188,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
189,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
190,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
191,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
192,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
193,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
194,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
195,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
196,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
197,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
198,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
199,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
200,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
201,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
202,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,0.0
203,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
204,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
205,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
206,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,0.0
207,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
208,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
209,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,0.0
210,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
211,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
212,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
213,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,54999.0
214,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
215,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
216,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
217,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
218,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
219,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
220,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
221,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
222,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
223,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
224,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
225,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,51299.0
226,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,8799.0
227,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
228,2,128.0,6.1,2.0,20.0,5.0,3500.0,6.0,0.0
229,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
230,1,256.0,6.0,1.0,0.0,4.5,4000.0,8.0,10899.0
231,1,256.0,7.0,4.0,20.0,5.0,5000.0,12.0,13980.0
232,4,128.0,6.0,4.0,0.0,4.5,3500.0,4.0,27939.0
233,2,128.0,7.0,2.0,20.0,5.0,4000.0,6.0,56399.0
234,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,0.0
235,3,128.0,6.6,3.0,48.0,5.0,5000.0,8.0,10939.0
236,2,256.0,6.1,2.0,20.0,5.0,3500.0,6.0,0.0
237,1,256.0,6.6,1.0,108.0,4.5,5000.0,8.0,12499.0
238,1,256.0,7.0,4.0,20.0,5.0,5000.0,8.0,15099.0
239,4,32.0,24.5,4.0,0.0,4.5,750.0,2.0,2199.0
240,3,256.0,6.6,3.0,48.0,5.0,5000.0,8.0,11779.0
241,3,256.0,64.0,3.0,50.0,5.0,5000.0,8.0,15999.0
242,1,128.0,6.6,4.0,64.0,4.5,4500.0,8.0,0.0
243,1,128.0,7.0,1.0,50.0,4.5,5000.0,8.0,7549.0
244,1,128.0,7.0,1.0,20.0,4.5,4000.0,4.0,5149.0
245,2,128.0,6.1,2.0,0.0,4.5,2815.0,4.0,28499.0
246,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2949.0
247,4,128.0,7.0,5.0,0.0,4.5,5000.0,4.0,2955.0
